survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True
0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True
0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False
0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False
0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False
0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False
1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False
1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False
0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True
0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True
0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True
0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False
0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False
0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False
1,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False
1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False
0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False
0,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
0,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False
1,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False
1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
0,3,male,16.0,2,0,18.0,S,Third,man,True,,Southampton,no,False
1,2,male,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
1,3,male,3.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False
0,3,male,15.0,1,1,7.2292,C,Third,child,False,,Cherbourg,no,False
0,3,female,3.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
1,3,female,1.0,0,2,15.7417,C,Third,child,False,,Cherbourg,yes,False
0,3,male,1.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
1,2,female,17.0,0,0,12.0,C,Second,woman,False,,Cherbourg,yes,True
1,2,male,3.0,1,1,18.75,S,Second,child,False,,Southampton,yes,False
0,3,female,10.0,0,2,24.15,S,Third,child,False,,Southampton,no,False
0,3,male,17.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
1,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False
1,1,male,4.0,0,2,81.8583,S,First,child,False,A,Southampton,yes,False
1,2,female,13.0,0,1,19.5,S,Second,child,False,,Southampton,yes,False
1,3,female,5.0,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
1,3,female,2.0,0,1,12.2875,S,Third,child,False,,Southampton,yes,False
0,3,male,9.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
1,3,male,9.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False
0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
1,2,female,2.0,1,1,26.0,S,Second,child,False,,Southampton,yes,False
0,3,male,17.0,1,1,7.2292,C,Third,man,True,,Cherbourg,no,False
1,2,female,7.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False
0,3,female,9.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
0,3,female,11.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
1,2,male,8.0,1,1,36.75,S,Second,child,False,,Southampton,yes,False
1,1,male,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False
0,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
1,2,female,4.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
0,3,female,9.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
0,3,female,2.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
0,3,male,14.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
0,3,male,14.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
1,1,female,15.0,0,1,211.3375,S,First,child,False,B,Southampton,yes,False
1,3,female,4.0,0,1,13.4167,C,Third,child,False,,Cherbourg,yes,False
1,2,female,6.0,0,1,33.0,S,Second,child,False,,Southampton,yes,False
0,3,male,17.0,1,0,7.0542,S,Third,man,True,,Southampton,no,False
0,3,male,11.0,0,0,18.7875,C,Third,child,False,,Cherbourg,no,True
0,3,male,16.0,1,1,20.25,S,Third,man,True,,Southampton,no,False
1,2,female,4.0,1,1,23.0,S,Second,child,False,,Southampton,yes,False
1,3,male,6.0,0,1,12.475,S,Third,child,False,E,Southampton,yes,False
1,2,male,0.67,1,1,14.5,S,Second,child,False,,Southampton,yes,False
0,3,male,16.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
1,3,female,5.0,0,0,12.475,S,Third,child,False,,Southampton,yes,True
1,3,female,13.0,0,0,7.2292,C,Third,child,False,,Cherbourg,yes,True
1,1,female,17.0,1,0,57.0,S,First,woman,False,B,Southampton,yes,False
0,3,male,8.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
1,3,male,1.0,1,2,20.575,S,Third,child,False,,Southampton,yes,False
0,2,male,16.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
1,1,male,11.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False
1,3,male,0.42,0,1,8.5167,C,Third,child,False,,Cherbourg,yes,False
0,3,female,6.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
0,3,male,10.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
0,3,male,2.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
1,2,male,1.0,0,2,37.0042,C,Second,child,False,,Cherbourg,yes,False
1,3,female,15.0,1,0,14.4542,C,Third,child,False,,Cherbourg,yes,False
1,2,male,0.83,1,1,18.75,S,Second,child,False,,Southampton,yes,False
0,2,male,16.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
0,3,male,4.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
0,3,female,9.0,1,1,15.2458,C,Third,child,False,,Cherbourg,no,False
1,1,female,16.0,0,1,39.4,S,First,woman,False,D,Southampton,yes,False
1,3,male,4.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False
1,3,female,15.0,0,0,7.225,C,Third,child,False,,Cherbourg,yes,True
